Name,Average.coverage,Reference.length
1,18.663,3933543
2,5.422,1897252
3,16.570,1355756
4,0.004,1048423
5,0.007,944793
6,10.792,794690
7,0.015,752473
8,0.008,629879
9,0.007,674541
10,4.973,700112
11,1.506,687477
12,10.850,593590
13,6.727,538510
14,6.800,495512
15,6.713,448061
16,6.904,443249
17,4.969,443179
18,11.691,425314
19,0.051,410192
20,6.794,396377
21,7.078,382438
22,1.545,376517
23,1.521,358621
24,4.928,354345
25,11.415,354091
26,7.415,346383
27,6.663,342019
28,7.138,336720
29,0.009,319452
30,7.322,326376
31,0.009,303479
32,1.586,311525
33,5.178,307576
34,6.617,305129
35,7.271,295333
36,0.018,228147
37,0.047,253791
38,0.048,291400
39,5.408,284682
40,0.005,218906
41,1.543,275448
42,0.017,269429
43,6.712,271797
44,0.000,162655
45,0.056,264693
46,0.054,266880
47,7.347,268531
48,6.834,267306
49,10.377,267040
50,7.053,265338
51,1.586,262530
52,7.670,256552
53,15.718,256439
54,0.000,100203
55,11.898,252670
56,0.011,246726
57,6.461,249687
58,16.559,243963
59,0.011,202252
60,14.947,241264
61,0.010,227296
62,9.195,236596
63,0.018,73635
64,0.006,198335
65,12.308,227138
66,7.042,225681
67,6.593,223853
68,0.009,208647
69,0.004,155825
70,0.017,106536
71,12.464,216138
72,140.838,215416
73,10.459,213844
74,0.002,167814
75,0.010,185904
76,0.018,188908
77,0.016,158272
78,0.054,202665
79,0.003,79725
80,0.007,186626
81,0.011,44371
82,5.087,203265
83,0.128,169336
84,6.943,201029
85,0.010,152519
86,6.664,197921
87,7.292,191954
88,0.013,144915
89,143.948,188823
90,12.302,183626
91,5.095,183024
92,12.134,183119
93,143.007,181824
94,18.372,181643
95,140.431,181489
96,15.742,180248
97,1.488,180001
98,0.007,154159
99,6.760,177464
100,0.020,165765
101,6.858,175127
103,7.014,174460
104,19.716,173170
105,0.001,108409
106,1.512,171016
107,6.531,170774
108,10.890,167205
109,1.500,166671
110,0.006,155033
111,0.021,113194
112,6.623,165039
113,0.066,148149
114,0.025,91944
115,0.017,148201
116,0.035,134850
117,0.003,102719
118,7.530,159563
119,5.196,159531
120,6.700,158952
121,141.095,156972
122,0.012,48079
123,0.006,51026
124,143.785,154167
125,0.001,104811
126,2.166,153373
127,5.280,153470
128,0.006,131864
129,143.131,151236
130,0.016,75508
131,0.061,148526
132,14.286,149775
133,12.199,149729
134,15.152,149085
135,0.004,91089
137,139.388,146427
138,142.419,146426
139,0.002,113376
140,0.000,92203
141,1.567,145837
143,0.001,92897
144,2.253,144481
145,138.150,143652
146,10.601,143407
147,0.006,126789
148,7.056,142456
149,0.003,103912
150,0.011,112211
152,139.504,141289
153,0.013,122707
154,7.341,141176
155,0.074,132425
156,2.738,141134
157,2.421,140849
158,6.654,141066
161,0.007,122488
162,10.788,138454
163,0.003,40745
164,0.001,125031
165,12.647,133925
166,0.016,104176
167,144.083,132853
168,2.396,132494
169,1.485,132256
170,0.002,98170
171,1.498,130837
172,0.003,61513
173,0.011,120600
174,0.006,100227
175,0.012,109203
176,145.292,129497
177,10.550,128763
178,0.002,120364
179,1.465,127080
180,138.651,127581
181,0.024,51818
182,2.455,124785
183,0.036,112377
184,0.001,81644
185,142.582,124281
186,0.008,100267
187,2.880,123711
188,15.964,123706
189,2.273,121051
190,0.029,110675
191,2.683,119800
192,0.002,97448
193,0.007,69506
194,0.051,115283
195,0.006,97961
196,12.221,118315
197,11.649,118267
198,2.872,118027
199,0.005,79985
200,2.796,117538
202,2.820,115766
203,0.057,115438
204,6.086,113114
205,0.005,109327
206,0.016,110171
207,1.377,111657
208,0.004,23250
209,12.188,111736
210,0.007,98942
211,2.731,111104
212,1.494,110921
213,0.001,62463
214,0.014,45317
215,0.021,108466
216,0.006,88676
217,0.005,73235
218,0.021,89497
219,0.008,96570
221,2.685,108695
222,0.002,46814
223,5.929,108339
224,10.406,107762
225,10.592,106422
226,0.002,96428
227,0.042,105583
228,2.696,104534
229,0.017,47659
230,2.579,103485
231,1.563,103096
232,2.297,102902
233,12.233,102135
234,2.096,101803
235,143.318,101400
236,0.057,82865
237,0.077,98054
238,17.863,100740
239,11.057,99998
240,1.459,99585
241,7.408,99626
242,6.827,99451
243,0.001,68809
245,2.464,98283
246,0.056,87593
247,2.808,97791
248,0.004,10712
250,6.434,97494
251,0.011,76543
252,0.014,88913
253,3.621,95716
254,2.401,95952
255,0.449,1335
256,2.617,95691
257,0.013,48668
258,0.019,87008
259,7.078,94763
260,2.435,94172
261,144.928,94388
262,15.238,94010
263,0.017,70807
264,139.572,93208
265,0.061,83804
266,10.900,92374
267,0.025,87125
268,141.686,92372
269,1.561,91584
271,13.624,91533
272,15.214,91242
273,0.002,66690
274,0.011,89858
275,2.230,90538
277,0.029,20478
278,0.024,28093
279,0.053,88448
280,3.369,89112
281,2.279,89050
284,0.014,46659
286,0.007,42046
287,11.840,88330
288,0.002,14544
289,138.354,88120
290,2.811,87484
291,0.015,53279
292,2.785,87251
294,11.138,86041
295,0.002,60981
296,2.852,85200
297,1.373,85011
298,2.266,84714
299,2.333,84574
300,0.007,24293
302,15.169,84224
303,1.520,83995
304,13.685,83655
305,0.013,53680
307,0.013,49496
308,0.019,68088
309,10.576,81803
310,145.368,81728
311,0.002,69220
312,0.011,6423
313,0.006,60078
315,2.493,80595
318,139.317,80195
319,137.159,80109
320,3.476,79624
321,0.042,43276
322,0.010,11207
323,0.010,71247
324,2.956,79438
326,4.883,78818
327,0.011,55859
328,3.147,77948
329,0.014,58262
330,0.016,75733
331,8.205,78339
332,2.118,78157
333,3.426,78174
334,0.002,18529
335,0.020,55104
336,3.395,77751
337,0.011,51950
338,0.010,64145
339,0.014,74422
340,0.024,66876
341,2.749,76539
342,13.284,76443
343,2.716,75916
345,2.788,75468
346,2.415,74847
347,0.012,60909
348,3.574,74888
349,2.884,74876
350,0.002,26133
351,0.003,71259
352,3.326,74433
353,2.665,74218
354,0.015,43936
355,2.493,73920
356,6.744,73960
360,11.505,73526
361,142.960,73330
362,2.351,73142
364,2.520,72754
365,2.918,72729
366,1.704,72912
367,0.017,36309
368,10.657,72427
369,0.012,40536
370,10.091,72304
371,12.052,71700
372,137.086,71650
373,0.003,57793
374,0.015,11965
375,0.002,21297
376,0.025,66067
377,2.508,70461
378,0.004,67042
379,2.454,70535
380,0.002,31772
381,0.014,51741
382,2.181,70250
383,0.022,32585
384,3.546,69614
385,2.180,69562
386,141.237,69517
387,2.298,69375
388,11.105,69363
389,7.434,69322
390,2.908,68944
391,12.622,68802
393,6.955,68220
394,0.022,12584
395,2.795,67636
396,2.359,67670
398,2.296,67456
399,0.018,62231
400,2.382,67147
401,10.521,66962
402,2.175,66640
403,8.884,66865
404,0.010,65425
405,6.346,66712
407,138.851,66682
408,2.361,66000
409,0.063,10524
410,2.704,65651
411,3.363,65133
412,0.031,57566
414,0.022,61521
415,0.035,22185
416,142.813,64615
417,6.944,64503
418,2.314,64348
419,12.635,64254
420,0.004,27033
421,0.004,54166
424,0.016,55523
425,0.043,12379
426,6.699,63864
427,2.817,63824
428,2.694,63516
429,0.020,62236
430,0.006,24894
431,2.430,63256
432,0.026,7533
433,0.007,46582
434,7.746,63085
435,2.684,63040
436,139.454,62950
437,1.637,62676
438,2.625,62555
439,0.778,62335
440,0.053,62728
441,2.330,62650
443,2.298,62460
445,2.631,62043
446,2.403,62164
447,0.012,48674
449,0.797,61173
451,0.009,10270
453,0.005,27188
454,2.910,61026
455,0.006,24516
456,2.931,60839
457,0.044,52600
458,3.466,60444
459,0.012,50503
460,0.004,23845
461,0.001,32924
462,2.796,59846
