Name,Average.coverage,Reference.length
1,30.415,3933591
2,16.632,1897252
3,17.845,1355756
4,0.115,1126261
5,0.120,1003768
6,24.208,794690
7,0.347,758148
8,0.127,734813
9,0.111,712033
10,14.624,700112
11,41.217,687477
12,23.263,593590
13,12.095,538510
14,17.442,495569
15,18.464,448061
16,18.025,443345
17,14.876,443179
18,10.086,425314
19,0.480,412431
20,17.429,396375
21,19.178,382438
22,43.638,377014
23,39.650,359823
24,15.806,354345
25,24.149,354091
26,19.939,346383
27,17.555,342019
28,18.606,336720
29,0.115,321405
30,19.461,326376
31,0.183,316337
32,44.876,311682
33,15.590,307576
34,11.503,305129
35,13.202,295333
36,0.319,294459
37,0.470,294929
38,0.525,294396
39,15.972,284682
40,0.103,273369
41,39.964,275448
42,0.270,273821
43,11.328,271797
44,0.059,270607
45,0.462,268945
46,0.465,267473
47,19.432,268531
48,17.293,267306
49,22.977,267040
50,12.359,265338
51,44.160,262530
52,19.056,256552
53,4.765,256281
54,0.032,251096
55,9.944,252670
56,0.136,241721
57,17.163,249687
58,4.689,243892
59,0.109,241507
60,4.457,241231
61,0.114,238293
62,16.699,236596
63,0.193,225728
64,0.338,223808
65,10.199,227138
66,11.890,225681
67,17.430,223853
68,0.358,222784
69,0.113,207091
70,0.081,214093
71,10.289,216138
72,96.128,215416
73,22.435,213844
74,0.044,197779
75,0.125,207505
76,0.205,211558
77,0.093,207784
78,0.456,208892
79,0.048,184166
80,0.137,195943
81,0.051,195508
82,14.769,203265
83,0.133,175395
84,18.802,201029
85,0.337,197269
86,17.476,197921
87,18.419,191954
88,0.116,189845
89,107.129,188823
90,10.011,183626
91,15.681,183260
92,9.872,183119
93,99.406,181824
94,5.288,181414
95,95.061,181489
96,4.814,180173
97,38.136,180001
98,0.304,177893
99,18.112,177464
100,0.221,176428
101,19.245,175127
102,0.123,173615
103,18.767,174460
104,5.793,173059
105,0.033,151392
106,41.624,171119
107,11.303,170774
108,22.533,167205
109,38.429,166834
110,0.103,165399
111,0.177,165298
112,11.199,165213
113,0.625,160245
114,0.180,155862
115,0.081,158734
116,0.239,159691
117,0.111,134931
118,18.942,159563
119,15.551,159531
120,17.993,158964
121,96.090,156972
122,0.147,154226
123,0.104,150066
124,99.608,154167
125,0.102,152859
126,1.493,153424
127,17.009,153470
128,0.091,140328
129,101.430,151236
130,0.062,147937
131,0.557,148292
132,4.398,149594
133,9.845,149729
134,4.565,149035
135,0.073,122630
136,0.140,133541
137,102.118,146427
138,100.535,146426
139,0.072,143491
140,0.057,119972
141,39.188,145855
142,0.028,145040
143,0.083,119762
144,1.529,144399
145,99.145,143652
146,24.231,143407
147,0.331,141312
148,19.152,142460
149,0.125,141316
150,0.223,133428
151,0.128,136234
152,93.921,141289
153,0.319,137887
154,19.109,141248
155,0.472,140967
156,4.066,141070
157,1.638,140669
158,12.484,141066
159,0.118,135533
160,0.120,134476
161,0.219,137868
162,23.933,138454
163,0.129,129361
164,0.121,135066
165,26.467,133925
166,0.167,133348
167,103.304,132853
168,1.363,132154
169,43.703,132256
170,0.110,131886
171,39.064,131171
172,0.128,121594
173,0.044,120606
174,0.168,130021
175,0.283,127844
176,98.812,129497
177,22.445,128763
178,0.073,114108
179,38.069,127699
