Name,Average.coverage,Reference.length
1,0.003,3907408
2,0.000,1595736
3,0.000,1265776
4,3.444,1133936
5,15.041,1003836
6,0.005,683475
7,13.168,759631
8,15.020,734980
9,14.917,723808
10,0.000,301829
11,0.001,638965
12,0.006,541895
13,0.005,189764
14,0.002,443804
15,0.000,340730
16,0.001,419891
17,0.000,440473
18,0.000,367448
19,155.733,412824
20,0.003,377852
21,0.002,288899
22,0.002,294401
23,0.002,199252
25,0.003,284358
26,0.004,209106
27,0.005,337730
28,0.001,276277
29,17.092,329383
30,0.002,267289
31,19.785,323322
32,0.001,208058
33,0.000,268568
34,0.003,280486
35,0.006,163708
36,13.154,295317
37,158.167,295294
38,152.105,294396
40,2.241,276903
41,0.011,177950
42,13.601,274192
43,0.002,173163
44,1.734,270746
45,169.240,269954
46,155.039,268782
47,0.000,245513
48,0.003,240375
49,0.004,239337
50,0.001,90075
51,0.004,146914
52,0.000,205223
53,0.007,204118
54,1.506,256105
55,0.000,240652
56,14.814,250641
57,0.002,238627
58,0.004,240875
59,14.444,243198
60,0.002,167817
61,19.939,240328
62,0.001,206739
63,20.087,227742
64,12.871,227689
65,0.000,189874
66,0.001,223190
67,0.001,110703
68,13.266,223544
69,2.275,221015
70,18.563,218808
71,0.000,175110
74,1.534,212231
75,15.465,212488
76,19.304,211561
77,16.370,210933
78,152.775,209573
79,1.543,208717
80,2.252,206239
81,1.681,205057
82,0.006,110867
83,17.737,202300
84,0.004,169039
85,13.121,199334
86,0.002,169152
87,0.011,160312
88,19.952,191134
91,0.000,144434
92,0.001,140304
94,0.008,166459
96,0.030,57515
97,0.003,172172
98,12.850,179293
99,0.010,68380
100,19.865,177148
101,0.003,13468
102,15.168,174941
103,0.004,125479
104,0.006,157302
105,1.626,172385
106,0.004,151520
107,0.003,54955
108,0.005,163828
109,0.002,100549
110,2.254,166416
111,19.358,165812
112,0.003,141193
113,158.471,161825
114,18.351,161660
115,16.160,160938
116,4.555,160567
117,2.219,160170
118,0.001,70883
119,0.023,2319
120,0.001,124728
122,14.251,156616
123,3.275,156365
125,3.128,154157
128,2.242,152771
130,2.273,151076
131,157.786,150290
132,0.003,146097
134,0.004,98482
135,16.596,147722
136,2.340,146528
139,3.145,146383
140,1.511,146186
141,0.008,137675
142,1.603,145618
143,3.387,144874
146,0.003,138548
147,12.959,142860
149,2.170,141875
150,18.971,141812
151,2.219,141573
153,13.285,141223
155,150.073,141238
156,0.002,24370
158,0.004,99321
159,3.350,139736
160,2.798,139307
161,18.625,139338
162,0.013,131691
163,14.687,136869
164,2.070,135142
165,0.003,50933
166,18.688,133597
169,0.001,123194
170,2.283,131886
171,0.011,93877
172,2.044,130290
173,2.787,130302
174,18.295,130119
175,13.179,130012
177,0.002,75804
178,3.330,128096
179,0.002,46368
181,3.092,126538
183,165.381,124620
184,15.411,124471
185,0.001,92609
186,3.382,124039
188,0.013,36296
190,18.311,120588
192,2.964,119790
193,1.555,119735
194,152.553,119400
195,3.069,118455
196,0.005,90056
198,0.001,58075
199,3.208,117655
201,2.970,115710
203,151.236,115438
204,0.002,107074
205,2.174,112999
206,16.785,112390
207,0.002,71571
208,2.040,112086
209,0.001,81850
210,13.943,111224
212,0.000,107982
213,2.100,110691
214,2.808,110511
215,18.935,110091
216,2.345,109901
217,2.314,109858
218,8.753,109382
219,2.362,109029
220,1.748,108863
222,17.528,108492
223,0.001,107185
226,2.211,105928
227,18.862,105583
229,3.168,104145
231,0.001,22097
236,2.288,101168
237,161.488,100804
239,0.038,87639
241,0.001,99628
242,0.004,42302
243,2.950,99251
244,1.409,98407
246,158.027,98081
248,2.298,97975
249,2.179,97823
250,0.008,55605
251,3.151,97198
252,8.071,97173
255,18.097,96026
256,0.001,43969
257,17.973,95674
258,17.747,95223
259,0.002,58939
262,0.050,58233
263,19.306,93819
265,147.240,92484
266,0.001,52976
267,18.558,92463
269,0.005,68724
270,15.562,91595
271,0.011,76128
272,0.003,76780
273,3.202,91132
274,13.035,91097
276,2.696,90589
277,19.028,90447
278,18.869,90403
279,150.709,89925
282,1.432,88724
283,2.503,89117
284,2.102,88694
285,1.638,88681
286,15.523,88345
288,3.209,88097
291,2.227,87336
293,2.312,86162
