Name,Average.coverage,Reference.length
1,20.629,3933427
2,6.496,1897252
3,13.326,1355756
4,0.007,1084361
5,0.019,989161
6,10.537,794690
7,0.026,728629
8,0.020,732978
9,0.022,678496
10,5.754,700103
11,1.055,687477
12,11.208,593590
13,4.944,538510
14,10.572,495360
15,10.944,447933
16,11.194,443361
17,6.070,443179
18,44.986,425314
19,0.087,410875
20,11.005,396377
21,11.863,382438
22,1.040,376742
23,1.010,359823
24,6.162,354345
25,10.396,354091
26,12.874,346383
27,11.002,342019
28,11.599,336720
29,0.004,271207
30,11.931,326376
31,0.027,309523
32,1.162,310982
33,5.955,307576
34,4.947,305129
35,5.177,295333
36,0.033,274960
37,0.100,290597
38,0.078,292266
39,6.148,284682
40,0.013,216046
41,1.123,275108
42,0.023,262060
43,4.884,271797
44,0.005,249829
45,0.102,263295
46,0.074,265676
47,11.716,268531
48,11.091,267306
49,9.663,267040
50,5.594,265338
51,1.032,262530
52,13.220,256552
53,10.263,256421
54,0.004,216746
55,43.710,252670
56,0.009,237213
57,10.522,249643
58,10.957,243926
59,0.023,226927
60,9.755,241246
61,0.006,163352
62,7.024,236596
63,0.027,191253
64,0.041,215770
65,45.863,227138
66,5.382,225385
67,10.793,223853
68,0.015,214066
69,0.016,161517
70,0.032,10943
71,47.457,216138
72,103.725,215416
73,10.642,213844
74,0.007,160102
75,0.025,196719
76,0.023,206470
77,0.006,194526
78,0.074,203207
79,0.002,182361
80,0.004,195994
81,0.007,161295
82,6.552,203265
83,0.018,151050
84,11.901,201029
85,0.027,194241
86,10.632,197921
87,11.735,191954
88,0.008,127089
89,112.163,188823
90,44.503,183626
91,6.010,183254
92,45.348,183119
93,106.506,181824
94,12.950,181707
95,101.280,181489
96,11.454,180057
97,1.046,179909
98,0.010,164880
99,11.139,177464
100,0.040,88226
101,11.774,175127
102,0.027,130425
103,11.783,174460
104,15.032,173090
105,0.009,155781
106,1.077,170393
107,5.077,170774
108,11.353,167192
109,1.034,166834
110,0.005,164279
111,0.040,165342
112,4.641,165213
113,0.072,157675
114,0.020,134670
116,0.059,144272
117,0.010,128902
118,11.949,159563
119,6.233,159531
120,11.346,158964
121,101.514,156972
122,0.041,57254
123,0.007,155926
124,104.193,154167
125,0.001,146279
126,5.635,153642
127,6.446,153461
128,0.015,131864
129,111.243,151236
130,0.013,118730
131,0.084,142238
132,9.591,149200
133,45.193,149729
134,10.484,148549
135,0.108,5365
136,0.010,123934
137,110.129,146427
138,108.709,146426
139,0.019,134584
140,0.001,47041
141,1.069,145278
142,0.017,34743
143,0.011,115383
144,5.468,144660
145,105.931,143652
146,10.755,143407
147,0.021,127731
148,11.963,142449
149,0.010,141316
150,0.023,120284
151,0.009,136234
152,100.220,141289
153,0.013,122707
154,12.713,141219
155,0.079,119428
156,1.676,141110
157,5.754,141061
158,5.268,141066
159,0.004,73410
160,0.007,87089
161,0.023,136257
162,9.545,138454
163,0.024,123640
164,0.010,125031
165,10.095,133925
166,0.035,130286
167,111.011,132853
168,5.088,132269
169,1.060,131549
170,0.013,106447
171,0.970,131021
172,0.003,106097
174,0.040,125013
175,0.031,122212
176,106.113,129497
177,10.699,128763
178,0.008,120364
179,1.021,126950
180,108.344,127581
181,0.006,107469
182,5.095,124731
183,0.159,119684
184,0.016,112725
185,111.179,124281
186,0.015,100457
187,1.612,123347
188,11.059,123649
189,5.720,121065
190,0.020,112095
191,1.839,119386
192,0.007,97447
193,0.077,7689
194,0.124,103537
195,0.008,85015
196,46.074,118315
197,45.816,118267
198,1.679,118160
199,0.002,18864
200,1.559,116833
201,0.018,54019
202,1.830,115812
203,0.073,108546
204,4.266,113114
205,0.009,98735
207,1.133,112193
208,0.014,95442
209,48.174,111736
210,0.034,86474
211,1.701,111104
212,1.022,110738
213,0.013,89984
214,0.008,66166
215,0.041,108716
216,0.008,107923
217,0.010,73235
218,0.050,86155
219,0.004,96570
220,0.009,106873
221,5.496,108797
223,4.728,108339
224,9.639,107762
225,10.705,106422
226,0.007,96421
227,0.024,77686
228,1.752,104248
229,0.010,76582
230,1.725,103723
231,1.055,103096
232,5.716,102791
233,47.987,102135
234,5.356,101805
235,108.356,101400
236,0.057,90604
237,0.115,97320
238,13.999,100686
239,10.472,99998
240,0.843,99522
241,12.730,99628
242,11.220,99503
243,0.018,86620
245,5.524,98256
246,0.062,97264
247,1.692,97756
248,0.008,72322
249,0.008,70980
250,4.794,97522
251,0.017,86814
252,0.026,95285
253,2.041,95887
254,5.561,96054
256,1.880,95770
257,0.015,68899
258,0.026,90437
259,5.597,94763
260,1.560,92869
261,110.874,94388
262,10.675,94104
263,0.017,34099
264,102.952,93208
265,0.064,92404
266,10.624,92435
267,0.031,82533
268,116.876,92372
269,1.028,91600
271,8.787,91508
272,9.467,91254
273,0.005,64038
274,0.045,87972
275,5.572,90599
276,0.005,32071
277,0.020,89578
278,0.014,37465
279,0.085,69085
280,2.274,89596
281,5.268,89512
282,0.012,56119
283,0.004,25691
284,0.026,31383
286,0.015,42051
287,44.058,88330
288,0.005,13188
289,108.851,88120
290,1.682,87475
291,0.003,42995
292,1.665,87251
